pair,cointegration_pvalue,correlation,adf_pvalue
MSFT-ACN,3.800346566261462e-05,0.9769257098810177,0.0010439305180595887
HD-ACN,0.016226557339792266,0.9417852737461804,0.01923101009334413
MSFT-HD,0.035076313956329125,0.9253421551590338,0.00710704921907186
CVX-ABBV,0.008811941627768351,0.9141259105893388,0.020352103436624858
UNP-UPS,0.012687743597718683,0.9115850956589722,0.015793276833345908
AAPL-UNP,0.007456418434616071,0.9048282834822796,0.0012318342546549948
MSFT-UNP,0.02977726797031633,0.880520311234854,0.044769047529721634
MA-HON,0.001537119490420776,0.8149589616397946,0.0003562887697857614
MA-UNP,0.003955746731117831,0.7762130275663666,0.01256994939037636
MA-UPS,0.004158971341055146,0.7684528861167955,0.002313996543318572
V-JPM,0.046185584493721094,0.7649412813317339,0.026159088909612892
MA-ABT,0.00290682535979057,0.7607873249105321,0.0018046611123792096
WFC-ORCL,0.031151401253273862,0.7483499328448749,0.01557863712943265
JNJ-IBM,0.02598832224249326,0.7148869552803526,0.0027211520387788735
V-ABT,0.04582053110640011,0.7103251675014185,0.011366181724580217
MA-BAC,0.0075424810630990635,0.7077437904437617,0.03790810987987098
V-CSCO,0.008012810887830237,0.6883888603399431,0.049528253238244634
MA-CMCSA,0.024531506649742265,0.6624463336316649,0.03931288011794986
MA-MCD,0.03878361325303207,0.6340210827916651,0.02215826268796453
MA-CSCO,0.026652992542999326,0.6297382961600634,0.04002919305692834
MA-NVDA,0.04159209705124869,0.6023074106565326,0.03990394465890055
V-NVDA,0.04388065540244957,0.5713237110529641,0.03703945695744915
V-WMT,0.02973227121312464,0.5414631592068194,0.046513912013537065
