pair,cointegration_pvalue,correlation,adf_pvalue,mean_zscore,std_zscore
MSFT-ACN,3.800346566261462e-05,0.9769257098810177,1.308438607640641e-05,-2.443665493354842e-16,1.0
AAPL-TMO,0.007754372764296099,0.9544528367133286,0.027049197423408538,7.518970748784129e-16,0.9999999999999996
NVDA-ACN,0.029646108817879734,0.9450041665440303,0.046019147924682674,1.5037941497568257e-15,1.0
HD-ACN,0.016226557339792266,0.9417852737461804,0.043841337225985294,3.759485374392064e-17,1.0000000000000002
ORCL-ACN,0.029762203329578612,0.9337603442078942,0.04708953262289451,-1.7105658453483892e-15,1.0
CMCSA-MDT,0.004188620574996887,0.9292020887943532,0.026197778700008976,-1.0902507585736986e-15,0.9999999999999996
MSFT-HD,0.035076313956329125,0.9253421551590338,0.009685788133253404,-1.5037941497568257e-16,1.0
TMO-LIN,0.042536149573640346,0.9197833108302845,0.026209635258600233,-7.518970748784129e-17,0.9999999999999993
ADBE-CRM,0.04632780320819833,0.9187683699468954,0.03291519318881836,1.1278456123176193e-15,1.0
PFE-COST,0.0013128903738459682,0.918276586112218,0.0019892869752401432,-7.518970748784129e-16,0.9999999999999996
CVX-ABBV,0.008811941627768351,0.9141259105893388,0.01956377804326252,7.518970748784129e-17,0.9999999999999992
AAPL-UNP,0.007456418434616071,0.9048282834822796,0.04988422877068078,2.2556912246352386e-16,1.0
XOM-LLY,0.014647270336035148,0.9045770237096005,0.0011028818109872127,-1.9737298215558337e-16,1.0000000000000004
GOOGL-BAC,0.012071124007838689,0.8999731715655218,0.0013539012077388283,1.052655904829778e-15,1.0000000000000004
HD-ORCL,0.008554707636749415,0.8966765476643207,0.008319276069015042,-9.774661973419367e-16,0.9999999999999992
CVX-LLY,0.04652020188470232,0.8825841498956628,0.003206220162212313,-3.0075882995136514e-16,0.9999999999999987
TSLA-UNP,0.010704774315937624,0.8823962634217539,0.021310073281880705,3.759485374392064e-17,1.0000000000000002
MSFT-UNP,0.02977726797031633,0.880520311234854,0.006325306425726211,2.2556912246352386e-16,0.9999999999999996
MSFT-BAC,0.014680958861665639,0.8368744035951473,0.003087372315881554,-3.0075882995136514e-16,1.000000000000001
ABT-UNP,0.029261179992922798,0.8345448899119692,0.004102254847599929,1.1278456123176193e-16,0.9999999999999998
HD-BAC,0.036204093333827105,0.8268422150125974,0.034997460827224984,-2.086514382787596e-15,1.0000000000000002
MA-UNP,0.003955746731117831,0.7762130275663666,0.038131665941944705,-1.5037941497568257e-16,1.0000000000000004
MA-ABT,0.00290682535979057,0.7607873249105321,0.0019291851904625049,-1.8797426871960321e-16,0.9999999999999992
GOOGL-WFC,0.026878469671556812,0.7564485042775824,0.005474892705417112,4.981318121069485e-16,0.9999999999999991
WFC-ORCL,0.031151401253273862,0.7483499328448749,0.015576534724807398,-9.398713435980161e-17,0.9999999999999998
WFC-ACN,0.04673001006252311,0.7354604484319008,0.031921402839307673,4.69935671799008e-16,0.9999999999999996
JNJ-IBM,0.02598832224249326,0.7148869552803526,0.0006051235129572446,1.8797426871960321e-16,1.0000000000000009
V-ABT,0.04582053110640011,0.7103251675014185,0.01758056626284102,7.518970748784129e-17,0.9999999999999999
MSFT-WFC,0.015321921508247242,0.6785471743576102,0.007500709034646548,-2.819614030794048e-16,1.0
AAPL-WFC,0.03816977636407613,0.6185178845218285,0.011052958691933757,-1.5977812841166273e-16,0.9999999999999992
WMT-MA,0.030623175543670635,0.5659465764528779,0.0023155500767482714,-3.994453210291569e-15,0.9999999999999999
V-WMT,0.02973227121312464,0.5414631592068194,0.002309125922629715,3.4775239713126594e-16,0.9999999999999999
